TITLE;PRODUCTION_YEAR;SERIE_TITLE;SERIE_PROD_YEAR;SEASON_NR;EPISODE_NR;SERIES_YEARS;KIND;TITLELINK;PRODUCTIONYEARLINK;LINK;KEYWORD;NAME;GENDER;PERSON_INFO;INFO_CONTEXT;ROLE;ROLE_NAME;NOTE;NR_ORDER
Faceless;1987;;;;;;movie;;;;thriller;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;adult;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;thriller;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Dr. Frank Flamand;;10
Femmes;1983;;;;;;movie;;;;adult;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Helmut;;10
Femmes;1983;;;;;;movie;;;;war;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Helmut;;10
Femmes;1983;;;;;;movie;;;;adult;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Helmut;;10
Femmes;1983;;;;;;movie;;;;war;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Helmut;;10
Victòria! 2: La disbauxa del 17;1983;;;;;;movie;Victòria! 3: El seny i la rauxa;1984;followed by;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;;;
Victòria! 2: La disbauxa del 17;1983;;;;;;movie;Victòria! La gran aventura dun poble;1983;follows;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;;;
Victòria! 2: La disbauxa del 17;1983;;;;;;movie;Victòria! 3: El seny i la rauxa;1984;followed by;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;;;
Victòria! 2: La disbauxa del 17;1983;;;;;;movie;Victòria! La gran aventura dun poble;1983;follows;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;;;
Victòria! 3: El seny i la rauxa;1984;;;;;;movie;Victòria! 2: La disbauxa del 17;1983;follows;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;;;
Victòria! 3: El seny i la rauxa;1984;;;;;;movie;Victòria! La gran aventura dun poble;1983;follows;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;;;
Victòria! 3: El seny i la rauxa;1984;;;;;;movie;Victòria! 2: La disbauxa del 17;1983;follows;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;;;
Victòria! 3: El seny i la rauxa;1984;;;;;;movie;Victòria! La gran aventura dun poble;1983;follows;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;;;
Victòria! La gran aventura dun poble;1983;;;;;;movie;Victòria! 2: La disbauxa del 17;1983;followed by;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Tinent Rodríguez Haro;;10
Victòria! La gran aventura dun poble;1983;;;;;;movie;Victòria! 3: El seny i la rauxa;1984;followed by;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Tinent Rodríguez Haro;;10
Victòria! La gran aventura dun poble;1983;;;;;;movie;Victòria! 2: La disbauxa del 17;1983;followed by;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Tinent Rodríguez Haro;;10
Victòria! La gran aventura dun poble;1983;;;;;;movie;Victòria! 3: El seny i la rauxa;1984;followed by;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Tinent Rodríguez Haro;;10
